time,flowcount
"05/16/2022, 13:02:07",1
"05/16/2022, 13:02:10",1
"05/16/2022, 13:02:13",1
"05/16/2022, 13:02:16",1
"05/16/2022, 13:02:19",1
"05/16/2022, 13:02:22",1
"05/16/2022, 13:02:25",1
"05/16/2022, 13:02:28",1
"05/16/2022, 13:02:31",1
"05/16/2022, 13:02:34",1
"05/16/2022, 13:02:37",1
"05/16/2022, 13:02:40",1
"05/16/2022, 13:02:43",1
"05/16/2022, 13:02:46",1
"05/16/2022, 13:02:49",1
"05/16/2022, 13:02:52",1
"05/16/2022, 13:02:55",1
"05/16/2022, 13:02:58",1
"05/16/2022, 13:03:01",1
"05/16/2022, 13:03:04",1
"05/16/2022, 13:03:07",1
"05/16/2022, 13:03:10",1
"05/16/2022, 13:03:13",1
"05/16/2022, 13:03:16",1
"05/16/2022, 13:03:19",1
"05/16/2022, 13:03:22",1
"05/16/2022, 13:03:25",1
"05/16/2022, 13:03:28",1
"05/16/2022, 13:03:31",1
"05/16/2022, 13:03:34",1
"05/16/2022, 13:03:38",1
"05/16/2022, 13:03:40",1
"05/16/2022, 13:03:43",1
"05/16/2022, 13:03:46",1
"05/16/2022, 13:03:49",1
"05/16/2022, 13:03:52",1
"05/16/2022, 13:03:55",1
"05/16/2022, 13:03:58",1
"05/16/2022, 13:04:02",1
"05/16/2022, 13:04:04",1
"05/16/2022, 13:04:08",1
"05/16/2022, 13:04:11",1
"05/16/2022, 13:04:14",1
"05/16/2022, 13:04:17",1
"05/16/2022, 13:04:20",1
"05/16/2022, 13:04:23",1
"05/16/2022, 13:04:26",1
"05/16/2022, 13:04:29",1
"05/16/2022, 13:04:32",1
"05/16/2022, 13:04:35",1
"05/16/2022, 13:04:38",1
"05/16/2022, 13:04:41",1
"05/16/2022, 13:04:44",1
"05/16/2022, 13:04:47",1
"05/16/2022, 13:04:50",1
"05/16/2022, 13:04:53",1
"05/16/2022, 13:04:56",1
"05/16/2022, 13:04:59",1
"05/16/2022, 13:05:02",1
"05/16/2022, 13:05:05",1
"05/16/2022, 13:05:08",1
"05/16/2022, 13:05:11",1
"05/16/2022, 13:05:14",1
"05/16/2022, 13:05:17",1
"05/16/2022, 13:05:20",1
"05/16/2022, 13:05:23",1
"05/16/2022, 13:05:26",1
"05/16/2022, 13:05:29",1
"05/16/2022, 13:05:32",1
"05/16/2022, 13:05:35",1
"05/16/2022, 13:05:38",1
"05/16/2022, 13:05:41",1
"05/16/2022, 13:05:44",1
"05/16/2022, 13:05:47",1
"05/16/2022, 13:05:50",1
"05/16/2022, 13:05:53",1
"05/16/2022, 13:05:56",1
"05/16/2022, 13:05:59",1
"05/16/2022, 13:06:02",1
"05/16/2022, 13:06:05",1
"05/16/2022, 13:06:08",1
"05/16/2022, 13:06:11",1
"05/16/2022, 13:06:14",1
"05/16/2022, 13:06:17",1
"05/16/2022, 13:06:20",1
"05/16/2022, 13:06:23",1
"05/16/2022, 13:06:26",1
"05/16/2022, 13:06:29",1
"05/16/2022, 13:06:32",1
"05/16/2022, 13:06:35",1
"05/16/2022, 13:06:38",1
"05/16/2022, 13:06:41",1
"05/16/2022, 13:06:44",1
"05/16/2022, 13:06:47",1
"05/16/2022, 13:06:50",1
"05/16/2022, 13:06:53",1
"05/16/2022, 13:06:56",1
"05/16/2022, 13:06:59",1
"05/16/2022, 13:07:02",1
"05/16/2022, 13:07:05",1
"05/16/2022, 13:07:08",1
"05/16/2022, 13:07:11",1
"05/16/2022, 13:07:14",1
"05/16/2022, 13:07:17",1
"05/16/2022, 13:07:20",1
"05/16/2022, 13:07:23",1
"05/16/2022, 13:07:26",1
"05/16/2022, 13:07:29",1
"05/16/2022, 13:07:32",1
"05/16/2022, 13:07:35",1
"05/16/2022, 13:07:38",1
"05/16/2022, 13:07:41",1
"05/16/2022, 13:07:44",1
"05/16/2022, 13:07:47",1
"05/16/2022, 13:07:50",1
"05/16/2022, 13:07:53",1
"05/16/2022, 13:07:56",1
"05/16/2022, 13:07:59",1
"05/16/2022, 13:08:02",1
"05/16/2022, 13:08:05",1
"05/16/2022, 13:08:08",1
"05/16/2022, 13:08:11",1
"05/16/2022, 13:08:14",1
"05/16/2022, 13:08:17",1
"05/16/2022, 13:08:20",1
"05/16/2022, 13:08:23",1
"05/16/2022, 13:08:26",1
"05/16/2022, 13:08:29",1
"05/16/2022, 13:08:32",1
"05/16/2022, 13:08:35",1
"05/16/2022, 13:08:38",1
"05/16/2022, 13:08:41",1
"05/16/2022, 13:08:44",1
"05/16/2022, 13:08:47",1
"05/16/2022, 13:08:50",1
"05/16/2022, 13:08:53",1
"05/16/2022, 13:08:56",1
"05/16/2022, 13:08:59",1
"05/16/2022, 13:09:02",1
"05/16/2022, 13:09:05",1
"05/16/2022, 13:09:08",1
"05/16/2022, 13:09:11",1
"05/16/2022, 13:09:14",1
"05/16/2022, 13:09:17",1
"05/16/2022, 13:09:20",1
"05/16/2022, 13:09:23",1
"05/16/2022, 13:09:26",1
"05/16/2022, 13:09:29",1
"05/16/2022, 13:09:32",1
"05/16/2022, 13:09:35",1
"05/16/2022, 13:09:38",1
"05/16/2022, 13:09:41",1
"05/16/2022, 13:09:44",1
"05/16/2022, 13:09:47",1
"05/16/2022, 13:09:50",1
"05/16/2022, 13:09:53",1
